Protocolo,Servicio,IP Origen,Puerto Origen,IP Destino,Puerto Destino,Bytes Totales
TCP,HTTPS,34.96.98.129,443,192.168.0.17,51254,60
TCP,HTTPS,192.168.0.17,51254,34.96.98.129,443,54
TCP,HTTPS,192.168.0.17,51254,34.96.98.129,443,78
TCP,HTTPS,192.168.0.17,51254,34.96.98.129,443,54
TCP,HTTPS,34.96.98.129,443,192.168.0.17,51254,60
TCP,HTTPS,192.168.0.17,51252,20.189.173.17,443,172
TCP,HTTPS,192.168.0.17,51252,20.189.173.17,443,93
TCP,HTTPS,192.168.0.17,51252,20.189.173.17,443,1494
TCP,HTTPS,192.168.0.17,51252,20.189.173.17,443,1494
TCP,HTTPS,192.168.0.17,51252,20.189.173.17,443,324
UDP,HTTPS,192.168.0.17,62530,142.251.150.119,443,71
TCP,HTTPS,20.189.173.17,443,192.168.0.17,51252,93
TCP,HTTPS,20.189.173.17,443,192.168.0.17,51252,60
TCP,HTTPS,192.168.0.17,51252,20.189.173.17,443,54
UDP,HTTPS,192.168.0.17,62530,142.251.150.119,443,71
TCP,HTTPS,192.168.0.17,51252,20.189.173.17,443,1494
UDP,HTTPS,142.251.150.119,443,192.168.0.17,62530,68
TCP,HTTPS,20.189.173.17,443,192.168.0.17,51252,152
UDP,HTTPS,142.251.150.119,443,192.168.0.17,62530,69
TCP,HTTPS,20.189.173.17,443,192.168.0.17,51252,66
TCP,HTTPS,192.168.0.17,51252,20.189.173.17,443,89
TCP,HTTPS,20.189.173.17,443,192.168.0.17,51252,60
TCP,HTTPS,192.168.0.17,51261,34.96.98.129,443,66
TCP,HTTPS,34.96.98.129,443,192.168.0.17,51261,66
TCP,HTTPS,192.168.0.17,51261,34.96.98.129,443,54
TCP,HTTPS,192.168.0.17,51261,34.96.98.129,443,597
TCP,HTTPS,34.96.98.129,443,192.168.0.17,51261,60
TCP,HTTPS,34.96.98.129,443,192.168.0.17,51261,257
TCP,HTTPS,192.168.0.17,51261,34.96.98.129,443,367
TCP,HTTPS,34.96.98.129,443,192.168.0.17,51261,60
UDP,Desconocido,192.168.0.6,59729,255.255.255.255,6667,246
TCP,HTTPS,34.96.98.129,443,192.168.0.17,51261,1056
TCP,HTTPS,192.168.0.17,51261,34.96.98.129,443,54
UDP,Desconocido,192.168.0.25,62843,255.255.255.255,6667,303
TCP,HTTPS,192.168.0.17,51066,157.240.244.60,443,123
TCP,HTTPS,157.240.244.60,443,192.168.0.17,51066,60
TCP,HTTPS,157.240.244.60,443,192.168.0.17,51066,125
TCP,HTTPS,192.168.0.17,51066,157.240.244.60,443,54
UDP,Desconocido,192.168.0.7,59729,255.255.255.255,6667,246
TCP,HTTPS,192.168.0.17,50339,34.54.84.110,443,99
UDP,Desconocido,192.168.0.6,59729,255.255.255.255,6667,246
TCP,HTTPS,192.168.0.17,50339,34.54.84.110,443,99
TCP,HTTPS,192.168.0.17,51248,142.251.210.170,443,571
TCP,HTTPS,192.168.0.17,50339,34.54.84.110,443,55
TCP,HTTPS,34.54.84.110,443,192.168.0.17,50339,60
TCP,HTTPS,34.54.84.110,443,192.168.0.17,50339,66
TCP,HTTPS,34.54.84.110,443,192.168.0.17,50339,66
TCP,HTTPS,142.251.210.170,443,192.168.0.17,51248,60
TCP,HTTPS,34.54.84.110,443,192.168.0.17,50339,132
TCP,HTTPS,192.168.0.17,50339,34.54.84.110,443,93
TCP,HTTPS,142.251.210.170,443,192.168.0.17,51248,2878
TCP,HTTPS,192.168.0.17,51248,142.251.210.170,443,54
TCP,HTTPS,142.251.210.170,443,192.168.0.17,51248,1466
TCP,HTTPS,142.251.210.170,443,192.168.0.17,51248,122
TCP,HTTPS,192.168.0.17,51248,142.251.210.170,443,66
TCP,HTTPS,192.168.0.17,51248,142.251.210.170,443,66
TCP,HTTPS,34.54.84.110,443,192.168.0.17,50339,60
TCP,HTTPS,142.251.210.170,443,192.168.0.17,51248,122
TCP,HTTPS,192.168.0.17,51248,142.251.210.170,443,74
TCP,HTTPS,142.251.210.170,443,192.168.0.17,51248,1466
TCP,HTTPS,192.168.0.17,51248,142.251.210.170,443,54
TCP,HTTPS,192.168.0.17,51198,192.178.57.42,443,55
TCP,HTTPS,192.178.57.42,443,192.168.0.17,51198,66
UDP,Desconocido,192.168.0.25,62843,255.255.255.255,6667,303
UDP,Desconocido,192.168.0.7,59729,255.255.255.255,6667,246
UDP,HTTPS,192.168.0.17,62041,34.149.212.60,443,107
UDP,HTTPS,34.149.212.60,443,192.168.0.17,62041,70
UDP,HTTPS,192.168.0.17,62041,34.149.212.60,443,74
UDP,HTTPS,34.149.212.60,443,192.168.0.17,62041,134
UDP,HTTPS,192.168.0.17,62041,34.149.212.60,443,1288
UDP,HTTPS,192.168.0.17,62041,34.149.212.60,443,99
UDP,HTTPS,34.149.212.60,443,192.168.0.17,62041,67
UDP,HTTPS,192.168.0.17,62041,34.149.212.60,443,1282
UDP,HTTPS,34.149.212.60,443,192.168.0.17,62041,71
UDP,HTTPS,192.168.0.17,62041,34.149.212.60,443,74
UDP,HTTPS,34.149.212.60,443,192.168.0.17,62041,148
UDP,HTTPS,192.168.0.17,62041,34.149.212.60,443,78
UDP,HTTPS,34.149.212.60,443,192.168.0.17,62041,66
UDP,Desconocido,192.168.0.6,59729,255.255.255.255,6667,246
TCP,HTTPS,157.240.244.60,443,192.168.0.17,51066,280
TCP,HTTPS,192.168.0.17,51066,157.240.244.60,443,54
TCP,HTTPS,192.168.0.17,51066,157.240.244.60,443,128
TCP,HTTPS,157.240.244.60,443,192.168.0.17,51066,60
UDP,Desconocido,192.168.0.25,62843,255.255.255.255,6667,303
UDP,Desconocido,192.168.0.6,59729,255.255.255.255,6667,246
TCP,Desconocido,192.168.0.17,50970,142.250.113.188,5228,55
TCP,Desconocido,142.250.113.188,5228,192.168.0.17,50970,66
UDP,Desconocido,192.168.0.25,62843,255.255.255.255,6667,303
TCP,Desconocido,192.168.0.17,49851,162.254.194.57,27018,113
TCP,Desconocido,162.254.194.57,27018,192.168.0.17,49851,60
